comment,ai_labelled,emoji_present,hindi_pct
yadi us rat iske bap ne protection use kiya hota to aj ye paida na hoti,non-sarcastic,no,86.96
kya chutiya pah h yee media,sarcastic,no,90.91
aayodhya thi isliye maryada me the didi or agar mathura rehta to nahabharat ho jata or humare ram maryada purshotam hai to dhyan rakhna bajune laxman ji bhi hai jinhone apke purvaj shurpnakha ka nak bhi kata tha bolo,sarcastic,no,90.54
face_with_tears_of_joy face_with_tears_of_joy ky ki ky baat banate ho yr face_with_tears_of_joy face_with_tears_of_joy,sarcastic,yes,16.98
aachcha hua tumhare sath aaisa hi hona chahie,sarcastic,no,100.0
jay siya ram hindu_temple raising_hands or sun jada ni bolte h ok,non-sarcastic,no,57.14
aare anpad ourto bjp ki dalalo kha bni ouski sarkar ye godi media h,sarcastic,no,84.62
aisi koi chij hoti hi nhi face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,20.0
dudh bhi bheas ke jagah bhen ka piliya karo uski he chai bana liya karo,sarcastic,no,100.0
Behenchod made only for mulle rolling_on_the_floor_laughing,non-sarcastic,no,16.67
kisee ba.de netaa ke saatha isakaa sanbandha hai iseelie itanaa garmee dikha rahee hai aura kucha naheen,sarcastic,no,97.06
माउंटेन ड्यू डर की मां की च** rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,no,14.29
येवढं खर नाय सांगायचं दादा hundred_points winking_face_with_tongue face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,13.11
lagataa hai isakee ammee kaa haneemoona makkaa ke usa kamare men jahaa.n pattharo kee baarisha hotee hai usa oyo men huaa hai| face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,52.63
Inki esi ki tesi enraged_face enraged_face enraged_face enraged_face India India India India India India India India check_mark_button check_mark_button,sarcastic,no,11.11
Mountain dew dar ki ma ki chut skull fire rolling_on_the_floor_laughing,sarcastic,no,28.57
hindoo cross_mark hija.de check_mark_button chee dhikkaara hai aise hinduon para enraged_face,non-sarcastic,yes,27.27
Burka gang paisa lene gai thi face_with_tears_of_joy,non-sarcastic,yes,45.0
फाटलेल्या condom ची नालायक aulad face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,6.52
कर्म चांगले ठेवायचे मग… face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,8.62
Aur Yeh B bol Ke Tu Kuch nahi Ukhad Saka KYC index_pointing_at_the_viewer_light_skin_tone index_pointing_at_the_viewer_light_skin_tone rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic,no,20.83
shi kiya inke sath ye sab lalach me ake glat krdiya,non-sarcastic,no,100.0
jye sri ram triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag,non-sarcastic,no,16.67
GA...d j .li moot peeni jaat face_with_tears_of_joy,non-sarcastic,yes,28.0
50+ missed calls from star plus smiling_face_with_tear face_with_tears_of_joy,non-sarcastic,yes,0.0
Gravity sadma me hai loudly_crying_face loudly_crying_face loudly_crying_face face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,6.15
2 june ko jail me jana h bhula nahi na face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,20.69
dhuruv rathee ghanta kuch bolega .... woh bkl ko ye sab nehi dekhta,sarcastic,no,85.19
tum logon ke events me kaam ka discussion optional hai,sarcastic,no,75.0
u.dataa teera gaanda men ghusaa ke lene kee aadata pa.da gaee hai logon ko |,non-sarcastic,no,86.21
Middle class boltos aai zavdya फॉर्ष gevun tu fernara madrchot enraged_face,non-sarcastic,no,65.38
lo aa gayaa muha se haga ne ...,sarcastic,no,76.92
Guys pura comment section dekh liya ek bhi chuslim nhi dikha proud to be chuslim bolne wala face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,27.14
Waise kuch khas to ni lagta tha mujhe munnawar lekin inhi logo ki wajah se achha lagne laga hai face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,58.49
Saare k saare chulle he dikh rahe h bhid me face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,42.11
Sahi Answer hee nhi diya person_facepalming,non-sarcastic,no,50.0
Kaha mar gaye praud to muslim wale rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic,no,34.38
bilkul nahi karna chahiye is bar nodi sarkar ayegi toh is ect co bhi hai hata degi. aabki bar nodi sarkar triangular_flag,sarcastic,no,80.49
tumhare jaisa visionary leader nahi dekha,sarcastic,no,72.73
"chhii tumhari,, ma ka,, bs, da,,, enraged_face person_facepalming",non-sarcastic,no,34.48
tum logon ka kaam kaafi suspenseful hai,sarcastic,no,76.92
galti us car wale ki hai ki usne isse udayaa nii face_with_tears_of_joy face_with_tears_of_joy,sarcastic,yes,41.03
tujhyaa aaeechee gaanda budhavaara petha chee raanda,non-sarcastic,no,80.0
kaangresa baalo ye tumhaare bhagavaana nahee hai kyaa?,sarcastic,no,95.0
South India ki reel hai grinning_face_with_sweat,sarcastic,yes,11.76
Isiliye Modi ko ek br fir aane do fire hundred_points abki congress aagyi tb tm sb apna ghr property to bhul hi jao congress ke chamcho face_with_tears_of_joy VOTE FOR BJP fire red_heart,sarcastic,yes,44.93
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,yes,0.0
Bhokna start ho gya face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,15.0
woh nehru uski ma ki ____,non-sarcastic,no,50.0
Lay khaj hoti aaighalya tula ..mar ata face_with_tears_of_joy,non-sarcastic,yes,51.85
मेरा दोस्त हॉस्पिटल मे ऍडमिट था मैने ऊसको ये व्हिडिओ दिखाया तो ओ हार्टॲट्याक से मर गया crying_face crying_face crying_face loudly_crying_face loudly_crying_face loudly_crying_face,non-sarcastic,yes,5.68
jyaalaa hindoo dharmaachaa raaga yeto tyaannee binadhaasta paakistaana madhye jaaoona raahaayachan,non-sarcastic,no,100.0
aasha murkh lokan sobat uddhav tharena satta havi ahe jyana aplya dharma bddal nahi kahi mahi nahi ani apn kona baddal boltoy hyachi laj nahiye,non-sarcastic,no,94.0
