comment,human_labelled,ai_labelled,emoji_present,hindi_pct
Lo or kro Rahul Gandhi face_with_tears_of_joy cross_mark,sarcastic,sarcastic,yes,19.05
eesko krte time kitno ne condom nhi lagaya,non-sarcastic,sarcastic,no,78.57
"kaam kam, dialogues zyada",sarcastic,sarcastic,no,57.14
sudhanshu trivedi ke samne koi bolsakta hai kyaa..aeeeeeeeeee face_with_tears_of_joy,non-sarcastic,sarcastic,yes,30.56
nujhe to rona a raha hai ab bas kar bhenji varna main komma main chalah jauga,non-sarcastic,sarcastic,no,100.0
hindoo naahee naa hee taree uddhava kaaya gheoona vasale hilaa deva jaane,non-sarcastic,sarcastic,no,100.0
bhai yahi video nane kabhi nahi or yeshi video ke ak laik to banta hai yarr kya dimag lagta hai inhone crying_face,non-sarcastic,sarcastic,yes,76.92
resources timely available the,non_sarcastic,sarcastic,no,0.0
Aur ye kuch bhi bol deta h aur log isko Google se compare kr dete h bahut bada bhadwa h sala ye face_with_tears_of_joy,sarcastic,sarcastic,yes,68.29
Kidney ma heart attack a gaya,non-sarcastic,sarcastic,no,42.86
Or vote do congress ko rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic,sarcastic,no,2.7
sochne wali bat hai ki garib bhi musalman hi hai..wahan to hindu nazar bhi nhi arahe hai..mtlb ki inko jaldi hi sikhsa di jaye..thodi padhai ki hoti to syd hindu k jaise chalak hote..,sarcastic,sarcastic,no,80.56
Finally nayi job mili hai. Offer letter aaya toh maa ke aankhon mein khushi dekh ke alag hi feel hua. 🥺❤️,non_sarcastic,non-sarcastic,yes,73.53
"Diet pe @HealthGuru ke tips liye, ek din mein khatam, s#*! willpower! 🍔",sarcastic,sarcastic,yes,46.43
"'teree aakada to aba pulisa todegee jhaatoo, kyaa jarurata thee beecha me apanee maiyyaa chudaane ki",sarcastic,sarcastic,no,94.74
u.dataa teera kashaalaa gaandita ghalona ghetalaa chupa basaayacha naa face_with_tears_of_joy,non-sarcastic,sarcastic,yes,63.89
Congress voters cross_mark Bhikari voters check_mark_button face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,0.0
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic,yes,0.0
jay shree ram triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag,non-sarcastic,non-sarcastic,no,12.12
Waqf Act Khatami hona chahiye enraged_face,non-sarcastic,sarcastic,no,29.41
I request some one stop reproduction of mugals in India crying_face,non-sarcastic,sarcastic,yes,0.0
ookar pheknege aaise board ko jaldi hi,sarcastic,sarcastic,no,92.31
Jalina beta abhi to aur chaloge uski tarkki se face_with_tears_of_joy,non-sarcastic,sarcastic,yes,56.0
"tere bap me h lekin, mtlb mujhme",sarcastic,sarcastic,no,73.33
ouske bad tumhari ma bhen hm chodinge,non-sarcastic,sarcastic,no,100.0
bhaiya ye to atankwadi hai crying_face,non-sarcastic,sarcastic,yes,46.67
Mai UP se hu or Maafi mangta hu crying_face crying_face,non-sarcastic,non-sarcastic,yes,45.0
tumvi to bol sakte ho..... moai,sarcastic,sarcastic,no,66.67
tichyaa maayachaa bhogee maaee gaaleecha hichaa daanaa vala vala karaayalaa vaatato,non-sarcastic,sarcastic,no,100.0
nuslim raste snane anek trike me se ek uor majbut banaye,non-sarcastic,non-sarcastic,no,83.33
India India India India India India red_heart red_heart red_heart red_heart,non-sarcastic,non-sarcastic,no,0.0
JAY SHREE RAM red_heart globe_showing_Europe-Africa dizzy TUMAHARI BABRI MAZID GYYII TEL LENEE relieved_face,sarcastic,sarcastic,no,24.39
He eats 100000 dhruvs in his breakfast,non-sarcastic,sarcastic,no,0.0
eesko gali do eeslam ko nahin index_pointing_up,non-sarcastic,sarcastic,no,43.75
Aab kya bolu tujhe Bhai face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic,yes,33.33
Congress ne tu nhi diya but bjp ne jaroor diya hoga face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,34.15
nahilaye nahi kewal muslim boliye. gazab chutiya bnya . face_with_tears_of_joy,sarcastic,sarcastic,yes,53.33
Buttock par hand rakhane ke baad hi tattoo bnta hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic,yes,22.92
Gaad jaali na beta log face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,24.14
aaee jhavaade neeta bola raamaabaddala too gaava jaaoona ghete sagalan raajakaarana jhavoona ghete bhosadee karoona maarela tulaa raanda nanbara deoo kaa tulaa maajhaa nanbara de chinaala,sarcastic,sarcastic,yes,93.65
"yup aur mughalo ne jitne gunah kre wo hum bhi nhi bhulne wale, kashmiri pandit hum bhi nhi bhulne wale",non-sarcastic,sarcastic,no,85.71
Waqf act destroy kar dena chahiye check_mark_button check_mark_button check_mark_button,sarcastic,sarcastic,no,21.43
Jaha जिंदा h wahi रखो face_with_tears_of_joy bahar aai to fir धरती maa k charno me milegi face_with_tears_of_joy,non-sarcastic,sarcastic,yes,48.98
oop ka hindu hijda ha to yogi unka cn,non-sarcastic,sarcastic,no,78.57
"budget toh bana diya, ab execution?",sarcastic,sarcastic,no,60.0
yeh video dekh kar aankhon mein aansu aa gaye,sarcastic,non-sarcastic,no,93.33
Bigg boss jit kr Ana mazzak todi hai face_with_tears_of_joy,non-sarcastic,sarcastic,yes,41.67
public outreach achha kiya gaya,non_sarcastic,sarcastic,no,62.5
Bro is Specially reserved face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic,yes,0.0
Me hota to matherchod ko Marta fir chahe jo bhi hota,sarcastic,sarcastic,no,82.35
